account_name,news_velocity,job_postings_change_pct,cloud_spend_growth_pct,ai_initiative_count,intent_signal_strength
Core Solutions,Low,53,0,0,Weak
Blue Solutions,High,38,39,8,Weak
Terra Matrix,Medium,0,11,6,Moderate
Terra One,Low,20,33,8,Strong
Delta Bridge,Low,-3,1,1,Strong
Helio Works,Medium,46,18,6,Strong
North Vista,High,22,-8,1,Weak
Prime Soft,Low,15,5,5,Weak
Nimbus Scale,High,26,21,4,Moderate
Apex Flow,Low,28,34,2,Strong
Next Cloud,Medium,-9,24,8,Strong
Terra Grid,Medium,46,35,2,Weak
Quantum Digital,Medium,53,42,3,Moderate
Bright One,High,-8,42,7,Moderate
Pulse Vista,Medium,-13,11,4,Moderate
Next Labs,Medium,55,14,4,Weak
Bright Works,Medium,49,35,4,Moderate
Lumen Scale,Low,3,25,8,Weak
Forge Logic,Low,19,1,0,Weak
Lumen Grid,Medium,16,29,3,Strong
Helio Systems,Low,38,23,3,Strong
Lumen Systems,Medium,8,38,8,Weak
Delta Labs,Low,-12,22,5,Weak
Sky Platform,High,19,30,6,Moderate
Sky Labs,Low,11,1,1,Moderate
Prime Tech,Low,49,3,6,Strong
Sky Vista,Medium,3,13,8,Weak
Helio Tech,Medium,-10,22,3,Strong
Lumen Logic,Low,36,7,0,Moderate
Nova Platform,Medium,21,-7,0,Moderate
Nova Digital,High,-2,41,7,Strong
Pulse Stack,Medium,8,-2,7,Moderate
Nova One,Medium,9,11,5,Weak
Nimbus Bridge,Low,40,-3,6,Weak
Nimbus Digital,Medium,-6,15,3,Strong
North Bridge,Medium,-8,37,0,Moderate
Helio Vista,High,55,23,1,Strong
Bright Soft,Medium,-9,13,5,Strong
North One,High,21,10,0,Weak
Terra Labs,Low,14,7,1,Weak
Nimbus Works,Medium,17,3,3,Strong
Vertex Works,High,-14,45,8,Strong
Delta Digital,Low,48,43,3,Weak
Nova Flow,Medium,16,7,0,Weak
Pulse Flow,Medium,20,4,2,Moderate
Lumen Platform,Medium,16,-3,8,Moderate
Nimbus Vista,Medium,15,34,2,Strong
Pulse Solutions,Low,16,45,6,Moderate
Prime Flow,Low,37,36,2,Weak
Opti Grid,Medium,14,40,7,Strong
Next Works,Medium,54,-5,6,Moderate
Bright Systems,High,21,6,7,Strong
Cyber Tech,Medium,27,-2,0,Strong
Next Soft,Low,53,33,3,Weak
Sky Edge,Medium,41,31,0,Weak
Nimbus Logic,Low,10,42,4,Weak
Prime One,Low,23,14,3,Moderate
Blue Tech,Medium,-13,6,8,Moderate
Lumen Edge,High,0,26,7,Moderate
Nova Bridge,Low,54,-4,8,Weak
Apex Dynamics,Medium,40,45,1,Weak
Cyber Solutions,High,35,2,0,Moderate
Apex Bridge,High,-18,19,8,Strong
Opti Digital,High,54,14,1,Strong
Quantum Edge,Low,13,-6,1,Moderate
Nova Works,High,32,-4,7,Strong
Quantum Digital,Low,12,1,1,Moderate
Sky Flow,Low,-6,36,7,Moderate
Blue Dynamics,Low,12,-8,3,Weak
Helio Soft,Low,-15,21,8,Weak
Lumen Labs,Low,33,8,6,Weak
Core Vista,Medium,27,-5,8,Strong
Next Edge,Medium,34,28,2,Strong
Vertex Stack,Medium,46,21,6,Weak
North Soft,Low,55,23,8,Weak
Lumen Vista,Low,12,26,4,Weak
Cyber Systems,Medium,41,43,8,Weak
Bright Bridge,Low,50,26,2,Weak
Quantum Platform,Medium,-10,24,7,Strong
Cyber Logic,Low,8,-3,8,Strong
Apex Stack,Low,17,28,8,Weak
Pulse Grid,High,52,29,7,Weak
Opti Tech,High,11,36,0,Strong
Terra One,Medium,33,22,7,Strong
Core Digital,Low,50,30,6,Weak
